latitude,longitude,occurrenceDate
10.4288,-84.0128,2009-03-25T23:00:00.000+0000
10.4288,-84.0128,2009-03-01T23:00:00.000+0000
7.83549,-77.61566,2009-03-08T23:00:00.000+0000
10.4288,-84.0128,2009-03-02T23:00:00.000+0000
10.4288,-84.0128,2009-03-17T23:00:00.000+0000
10.57316,-84.03556,2009-03-25T23:00:00.000+0000
10.55735,-83.73831,2009-03-06T23:00:00.000+0000
10.4288,-84.0128,2009-03-09T23:00:00.000+0000
10.4288,-84.0128,2009-02-28T23:00:00.000+0000
10.4288,-84.0128,2009-03-09T23:00:00.000+0000
10.4308,-84.0063,2009-03-23T23:00:00.000+0000
10.4288,-84.0128,2009-03-21T23:00:00.000+0000
10.4288,-84.0128,2009-03-03T23:00:00.000+0000
10.4288,-84.0128,2009-03-23T23:00:00.000+0000
10.4288,-84.0128,2009-03-03T23:00:00.000+0000
10.4288,-84.0128,2009-03-23T23:00:00.000+0000
7.81192,-77.51695,2009-03-12T23:00:00.000+0000
10.4288,-84.0128,2009-03-01T23:00:00.000+0000
10.4288,-84.0128,2009-03-01T23:00:00.000+0000
10.4288,-84.0128,2009-03-02T23:00:00.000+0000
10.4288,-84.0128,2009-03-25T23:00:00.000+0000
10.55735,-83.73831,2009-03-05T23:00:00.000+0000
10.4288,-84.0128,2009-03-06T23:00:00.000+0000
10.4288,-84.0128,2009-03-31T22:00:00.000+0000
10.3516,-83.972,2009-04-17T22:00:00.000+0000
10.4288,-84.0128,2009-03-31T22:00:00.000+0000
10.4288,-84.0128,2009-04-14T22:00:00.000+0000
10.33877,-83.99932,2009-04-26T22:00:00.000+0000
10.4288,-84.0128,2009-04-18T22:00:00.000+0000
10.42569,-84.02618,2009-03-31T22:00:00.000+0000
10.33877,-83.99932,2009-04-26T22:00:00.000+0000
10.45143,-84.06095,2009-07-26T22:00:00.000+0000
10.4516,-84.1211,2009-07-05T22:00:00.000+0000
10.45012,-84.06351,2009-08-21T22:00:00.000+0000
10.4517,-84.06719,2009-08-06T22:00:00.000+0000
10.4502,-84.0677,2009-08-21T22:00:00.000+0000
10.77901,-84.15167,2009-08-22T22:00:00.000+0000
7.75594,-77.68493,2009-08-01T22:00:00.000+0000
10.4288,-84.0128,2009-10-26T23:00:00.000+0000
10.64239,-84.19167,2009-10-15T22:00:00.000+0000
10.45222,-84.06146,2009-10-15T22:00:00.000+0000
10.4288,-84.0128,2009-10-30T23:00:00.000+0000
10.4288,-84.0128,2009-11-03T23:00:00.000+0000
10.4288,-84.0128,2009-11-04T23:00:00.000+0000
10.44494,-84.00919,2009-11-25T23:00:00.000+0000
10.4288,-84.0128,2009-10-31T23:00:00.000+0000
10.4288,-84.0128,2009-11-26T23:00:00.000+0000
10.4419,-83.54004,2009-11-03T23:00:00.000+0000
10.4288,-84.0128,2009-11-05T23:00:00.000+0000
7.88515,-77.60742,2009-11-29T23:00:00.000+0000
10.4288,-84.0128,2009-12-19T23:00:00.000+0000
7.88515,-77.60742,2009-11-30T23:00:00.000+0000
7.88515,-77.60742,2009-12-01T23:00:00.000+0000
10.4288,-84.0128,2009-12-10T23:00:00.000+0000
10.4288,-84.0128,2009-12-10T23:00:00.000+0000
10.4502,-84.0677,2009-12-11T23:00:00.000+0000
10.56251,-83.51186,2009-12-07T23:00:00.000+0000
10.4502,-84.0677,2009-12-12T23:00:00.000+0000
10.4288,-84.0128,2009-12-18T23:00:00.000+0000
10.4308,-84.0063,2009-12-18T23:00:00.000+0000
